"000115d0-45ad-11e8-a09c-c81f66dbb56c","GOLD","200"
"000220d0-8ac5-11e8-ae23-c81f66cf2333","SILVER","192"
"000305f0-dc2c-11e8-b3fa-c81f66dbb56c","PLATINUM","100"
"000707c0-35df-11e8-a82d-c81f66cf2333","GOLD","201"
"0010adb0-04a8-11e8-9e8c-c81f66cf135e","SILVER","201"
"001d96c0-4566-11e8-838a-c81f66cf135e","SILVER","200"
"001eef10-0467-11e8-a61f-c81f66cf2333","DIAMOND","200"
"0023b2e0-fe39-11e7-b4cc-c81f66cf2333","BRONZE","195"
"002c9480-3608-11e8-838a-c81f66cf135e","SILVER","199"
"00354d20-265c-11e8-977f-c81f66dbb56c","SILVER","191"
"00377080-fe0e-11e7-b4cc-c81f66cf2333","GOLD","200"
"003a8080-1214-11e8-b4cc-c81f66cf2333","GOLD","200"
"003db780-fd5d-11e7-b4cc-c81f66cf2333","BRONZE","158"
"00422460-5bd0-11e8-945e-c81f66dbb56c","SILVER","200"
"0045d140-01a4-11e8-a61f-c81f66cf2333","BRONZE","199"
"00513910-008a-11e8-9e8c-c81f66cf135e","SILVER","200"
"005a3340-b6b4-11e8-9cfa-c81f66cf2333","SILVER","100"
"00649950-ac89-11e8-9cfa-c81f66cf2333","SILVER","190"
"006a8c80-4df1-11e8-9823-c81f66cf2333","GOLD","200"
"006ab390-4df1-11e8-9823-c81f66cf2333","GOLD","198"
"006ef950-4df1-11e8-9823-c81f66cf2333","GOLD","191"
"0070e7e0-0ac3-11e8-a89d-c81f66cf135e","SILVER","200"
"007a3720-fba3-11e7-8a52-c81f66cf135e","GOLD","190"
"007d3a30-84a4-11e8-ba39-c81f66cf135e","GOLD","146"
"00814ba0-9e3c-11e8-b3c4-c81f66cf2333","SILVER","104"
"00854410-12e3-11e8-8a89-c81f66dbb56c","SILVER","202"
"00864030-104b-11e8-a61f-c81f66cf2333","GOLD","200"
"00921800-d775-11e8-8841-c81f66cf2333","GOLD","101"
"00977b90-bed1-11e8-8e4a-c81f66cf135e","SILVER","128"
"009954e0-cdba-11e8-838d-c81f66dbb56c","GOLD","110"
"0099cd70-738e-11e8-b3c4-c81f66cf2333","SILVER","200"
"00a0f470-5344-11e8-9823-c81f66cf2333","GOLD","199"
"00a22950-4785-11e8-959b-c81f66cf135e","SILVER","116"
"00a81110-4435-11e8-977f-c81f66dbb56c","SILVER","167"
"00ac6fe0-fbea-11e8-b535-c81f66cf135e","IRON","32"
"00ae06a0-fe3b-11e7-9e8c-c81f66cf135e","SILVER","201"
"00b46b40-fbf6-11e7-979b-c81f66dbb56c","SILVER","201"
"00b662f0-d964-11e8-9e55-c81f66dbb56c","GOLD","105"
"00bac110-0e03-11e8-b4cc-c81f66cf2333","SILVER","200"
"00be8ee0-03c1-11e8-9e8c-c81f66cf135e","SILVER","198"
"00c51260-fccd-11e7-9e61-c81f66cf2333","SILVER","200"
"00d11cd0-d775-11e8-8841-c81f66cf2333","PLATINUM","119"
"00d1b910-d775-11e8-8841-c81f66cf2333","PLATINUM","200"
"00d1b911-d775-11e8-8841-c81f66cf2333","PLATINUM","103"
"00d20730-d775-11e8-8841-c81f66cf2333","PLATINUM","126"
